"Country","GBDCHILDCAUSES","Year","Deaths_0_to_27_Days","Deaths_1_to_59_Months","Deaths_0_to_4_Years"
"Costa Rica","Acute lower respiratory infections","2010","5","15","20"
"Costa Rica","Acute lower respiratory infections","2009","6","18","23"
"Costa Rica","Acute lower respiratory infections","2008","14","19","33"
"Costa Rica","Acute lower respiratory infections","2007","13","33","45"
"Costa Rica","Acute lower respiratory infections","2006","20","25","45"
"Costa Rica","Acute lower respiratory infections","2005","13","46","59"
"Costa Rica","Acute lower respiratory infections","2004","17","36","53"
"Costa Rica","Acute lower respiratory infections","2003","25","36","62"
"Costa Rica","Acute lower respiratory infections","2002","23","41","64"
"Costa Rica","Acute lower respiratory infections","2001","25","47","72"
"Costa Rica","Acute lower respiratory infections","2000","20","56","76"
"Costa Rica","Prematurity","2013","175","19","194"
"Costa Rica","Prematurity","2012","173","19","192"
"Costa Rica","Prematurity","2011","172","17","189"
"Costa Rica","Prematurity","2010","170","15","185"
"Costa Rica","Prematurity","2009","171","8","179"
"Costa Rica","Prematurity","2008","183","12","195"
"Costa Rica","Prematurity","2007","208","14","222"
"Costa Rica","Prematurity","2006","190","11","200"
"Costa Rica","Prematurity","2005","199","8","207"
"Costa Rica","Prematurity","2004","220","2","222"
"Costa Rica","Prematurity","2003","237","9","246"
"Costa Rica","Prematurity","2002","267","15","281"
"Costa Rica","Prematurity","2001","234","16","250"
"Costa Rica","Prematurity","2000","236","21","257"
"Costa Rica","Birth asphyxia and birth trauma","2013","61","2","64"
"Costa Rica","Birth asphyxia and birth trauma","2012","61","2","63"
"Costa Rica","Birth asphyxia and birth trauma","2011","60","2","63"
"Costa Rica","Birth asphyxia and birth trauma","2010","60","3","62"
"Costa Rica","Birth asphyxia and birth trauma","2009","60","3","64"
"Costa Rica","Birth asphyxia and birth trauma","2008","57","3","60"
"Costa Rica","Birth asphyxia and birth trauma","2007","48","1","49"
"Costa Rica","Birth asphyxia and birth trauma","2006","70","4","74"
"Costa Rica","Birth asphyxia and birth trauma","2005","56","7","62"
"Costa Rica","Birth asphyxia and birth trauma","2004","50","2","52"
"Costa Rica","Birth asphyxia and birth trauma","2003","55","3","58"
"Costa Rica","Birth asphyxia and birth trauma","2002","48","1","49"
"Costa Rica","Birth asphyxia and birth trauma","2001","62","4","66"
"Costa Rica","Birth asphyxia and birth trauma","2000","74","5","79"
"Costa Rica","Sepsis and other infectious conditions of the newborn","2013","12","0","12"
"Costa Rica","Sepsis and other infectious conditions of the newborn","2012","12","0","12"
"Costa Rica","Sepsis and other infectious conditions of the newborn","2011","12","0","12"
"Costa Rica","Sepsis and other infectious conditions of the newborn","2010","11","0","11"
"Costa Rica","Sepsis and other infectious conditions of the newborn","2009","11","0","11"
"Costa Rica","Sepsis and other infectious conditions of the newborn","2008","36","0","36"
"Costa Rica","Sepsis and other infectious conditions of the newborn","2007","41","0","41"
"Costa Rica","Sepsis and other infectious conditions of the newborn","2006","50","0","50"
"Costa Rica","Sepsis and other infectious conditions of the newborn","2005","31","0","31"
"Costa Rica","Sepsis and other infectious conditions of the newborn","2004","35","0","35"
"Costa Rica","Sepsis and other infectious conditions of the newborn","2003","39","0","39"
"Costa Rica","Sepsis and other infectious conditions of the newborn","2002","30","0","30"
"Costa Rica","Sepsis and other infectious conditions of the newborn","2001","51","0","51"
"Costa Rica","Sepsis and other infectious conditions of the newborn","2000","43","0","43"
"Costa Rica","Other communicable, perinatal and nutritional conditions","2013","21","9","29"
"Costa Rica","Other communicable, perinatal and nutritional conditions","2012","21","9","29"
"Costa Rica","Other communicable, perinatal and nutritional conditions","2011","20","10","30"
"Costa Rica","Other communicable, perinatal and nutritional conditions","2010","20","10","31"
"Costa Rica","Other communicable, perinatal and nutritional conditions","2009","20","11","31"
"Costa Rica","Other communicable, perinatal and nutritional conditions","2008","35","12","47"
"Costa Rica","Other communicable, perinatal and nutritional conditions","2007","18","15","32"
"Costa Rica","Other communicable, perinatal and nutritional conditions","2006","29","16","44"
"Costa Rica","Other communicable, perinatal and nutritional conditions","2005","29","14","43"
"Costa Rica","Other communicable, perinatal and nutritional conditions","2004","27","16","43"
"Costa Rica","Other communicable, perinatal and nutritional conditions","2003","30","7","37"
"Costa Rica","Other communicable, perinatal and nutritional conditions","2002","34","23","57"
"Costa Rica","Other communicable, perinatal and nutritional conditions","2001","32","13","46"
"Costa Rica","Other communicable, perinatal and nutritional conditions","2000","30","23","53"
"Costa Rica","Congenital anomalies","2013","197","105","301"
"Costa Rica","Congenital anomalies","2012","195","106","301"
"Costa Rica","Congenital anomalies","2011","194","105","298"
"Costa Rica","Congenital anomalies","2010","191","101","292"
"Costa Rica","Congenital anomalies","2009","193","98","291"
"Costa Rica","Congenital anomalies","2008","148","94","242"
"Costa Rica","Congenital anomalies","2007","170","98","268"
"Costa Rica","Congenital anomalies","2006","151","91","242"
"Costa Rica","Congenital anomalies","2005","190","88","277"
"Costa Rica","Congenital anomalies","2004","178","79","257"
"Costa Rica","Congenital anomalies","2003","165","111","276"
"Costa Rica","Congenital anomalies","2002","175","111","286"
"Costa Rica","Congenital anomalies","2001","197","118","315"
"Costa Rica","Congenital anomalies","2000","219","116","335"
"Costa Rica","Other noncommunicable diseases","2013","2","49","52"
"Costa Rica","Other noncommunicable diseases","2012","2","50","52"
"Costa Rica","Other noncommunicable diseases","2011","2","53","55"
"Costa Rica","Other noncommunicable diseases","2010","2","55","58"
"Costa Rica","Other noncommunicable diseases","2009","2","69","71"
"Costa Rica","Other noncommunicable diseases","2008","4","64","68"
"Costa Rica","Other noncommunicable diseases","2007","1","46","47"
"Costa Rica","Other noncommunicable diseases","2006","0","81","81"
"Costa Rica","Other noncommunicable diseases","2005","1","50","51"
"Costa Rica","Other noncommunicable diseases","2004","2","94","96"
"Costa Rica","Other noncommunicable diseases","2003","2","62","64"
"Costa Rica","Other noncommunicable diseases","2002","1","76","77"
"Costa Rica","Other noncommunicable diseases","2001","2","94","96"
"Costa Rica","Other noncommunicable diseases","2000","3","115","118"
"Costa Rica","Injuries","2013","1","20","21"
"Costa Rica","Injuries","2012","1","20","21"
"Costa Rica","Injuries","2011","1","22","23"
"Costa Rica","Injuries","2010","1","24","25"
"Costa Rica","Injuries","2009","1","27","28"
"Costa Rica","Injuries","2008","1","30","31"
"Costa Rica","Injuries","2007","1","37","38"
"Costa Rica","Injuries","2006","2","23","25"
"Costa Rica","Injuries","2005","2","39","41"
"Costa Rica","Injuries","2004","3","45","48"
"Costa Rica","Injuries","2003","1","52","54"
"Costa Rica","Injuries","2002","2","47","49"
"Costa Rica","Injuries","2001","0","54","54"
"Costa Rica","Injuries","2000","2","41","44"
"Cuba","HIV/AIDS","2013","0","0","0"
"Cuba","HIV/AIDS","2012","0","0","0"
"Cuba","HIV/AIDS","2011","0","0","0"
"Cuba","HIV/AIDS","2010","0","0","0"
"Cuba","HIV/AIDS","2009","0","0","0"
"Cuba","HIV/AIDS","2008","0","1","1"
"Cuba","HIV/AIDS","2007","0","1","1"
"Cuba","HIV/AIDS","2006","0","0","0"
"Cuba","HIV/AIDS","2005","0","0","0"
"Cuba","HIV/AIDS","2004","0","2","2"
"Cuba","HIV/AIDS","2003","0","1","1"
"Cuba","HIV/AIDS","2002","0","2","2"
"Cuba","HIV/AIDS","2001","0","0","0"
"Cuba","HIV/AIDS","2000","0","0","0"
"Cuba","Diarrhoeal diseases","2013","0","8","8"
"Cuba","Diarrhoeal diseases","2012","0","8","8"
"Cuba","Diarrhoeal diseases","2011","0","9","9"
"Cuba","Diarrhoeal diseases","2010","0","11","11"
"Cuba","Diarrhoeal diseases","2009","0","10","10"
"Cuba","Diarrhoeal diseases","2008","0","14","14"
"Cuba","Diarrhoeal diseases","2007","0","11","11"
"Cuba","Diarrhoeal diseases","2006","0","14","14"
"Cuba","Diarrhoeal diseases","2005","0","20","20"
"Cuba","Diarrhoeal diseases","2004","0","13","13"
"Cuba","Diarrhoeal diseases","2003","0","17","17"
"Cuba","Diarrhoeal diseases","2002","0","14","14"
"Cuba","Diarrhoeal diseases","2001","0","21","21"
"Cuba","Diarrhoeal diseases","2000","0","19","19"
"Cuba","Pertussis","2013","0","0","0"
"Cuba","Pertussis","2012","0","0","0"
"Cuba","Pertussis","2011","0","0","0"
"Cuba","Pertussis","2010","0","0","0"
"Cuba","Pertussis","2009","0","0","0"
"Cuba","Pertussis","2008","0","0","0"
"Cuba","Pertussis","2007","0","0","0"
"Cuba","Pertussis","2006","0","0","0"
"Cuba","Pertussis","2005","0","0","0"
"Cuba","Pertussis","2004","0","0","0"
"Cuba","Pertussis","2003","0","0","0"
"Cuba","Pertussis","2002","0","0","0"
"Cuba","Pertussis","2001","0","0","0"
"Cuba","Pertussis","2000","0","0","0"
"Cuba","Tetanus","2013","0","0","0"
"Cuba","Tetanus","2012","0","0","0"
"Cuba","Tetanus","2011","0","0","0"
"Cuba","Tetanus","2010","0","0","0"
"Cuba","Tetanus","2009","0","0","0"
"Cuba","Tetanus","2008","0","0","0"
"Cuba","Tetanus","2007","0","0","0"
"Cuba","Tetanus","2006","0","0","0"
"Cuba","Tetanus","2005","0","0","0"
"Cuba","Tetanus","2004","0","0","0"
"Cuba","Tetanus","2003","0","0","0"
"Cuba","Tetanus","2002","0","0","0"
"Cuba","Tetanus","2001","0","0","0"
"Cuba","Tetanus","2000","0","0","0"
"Cuba","Measles","2013","0","0","0"
"Cuba","Measles","2012","0","0","0"
"Cuba","Measles","2011","0","0","0"
"Cuba","Measles","2010","0","0","0"
"Cuba","Measles","2009","0","0","0"
"Cuba","Measles","2008","0","0","0"
"Cuba","Measles","2007","0","0","0"
"Cuba","Measles","2006","0","0","0"
"Cuba","Measles","2005","0","0","0"
"Cuba","Measles","2004","0","0","0"
"Cuba","Measles","2003","0","0","0"
"Cuba","Measles","2002","0","0","0"
"Cuba","Measles","2001","0","0","0"
"Cuba","Measles","2000","0","0","0"
"Cuba","Meningitis/encephalitis","2013","8","9","17"
"Cuba","Meningitis/encephalitis","2012","8","9","17"
"Cuba","Meningitis/encephalitis","2011","8","11","18"
"Cuba","Meningitis/encephalitis","2010","7","13","20"
"Cuba","Meningitis/encephalitis","2009","5","12","16"
"Cuba","Meningitis/encephalitis","2008","6","19","25"
"Cuba","Meningitis/encephalitis","2007","3","15","19"
"Cuba","Meningitis/encephalitis","2006","4","21","26"
"Cuba","Meningitis/encephalitis","2005","5","28","33"
"Cuba","Meningitis/encephalitis","2004","7","22","29"
"Cuba","Meningitis/encephalitis","2003","1","29","30"
"Cuba","Meningitis/encephalitis","2002","4","19","23"
"Cuba","Meningitis/encephalitis","2001","9","35","44"
"Cuba","Meningitis/encephalitis","2000","4","46","50"
"Cuba","Malaria","2013","0","0","0"
"Cuba","Malaria","2012","0","0","0"
"Cuba","Malaria","2011","0","0","0"
"Cuba","Malaria","2010","0","0","0"
"Cuba","Malaria","2009","0","0","0"
"Cuba","Malaria","2008","0","0","0"
"Cuba","Malaria","2007","0","0","0"
"Cuba","Malaria","2006","0","0","0"
"Cuba","Malaria","2005","0","0","0"
"Cuba","Malaria","2004","0","0","0"
"Cuba","Malaria","2003","0","0","0"
"Cuba","Malaria","2002","0","0","0"
"Cuba","Malaria","2001","0","0","0"
"Cuba","Malaria","2000","0","0","0"
"Cuba","Acute lower respiratory infections","2013","26","43","69"
"Cuba","Acute lower respiratory infections","2012","27","45","72"
"Cuba","Acute lower respiratory infections","2011","28","47","75"
"Cuba","Acute lower respiratory infections","2010","28","44","72"
"Cuba","Acute lower respiratory infections","2009","39","60","99"
"Cuba","Acute lower respiratory infections","2008","32","36","68"
"Cuba","Acute lower respiratory infections","2007","37","47","84"
"Cuba","Acute lower respiratory infections","2006","31","58","89"
"Cuba","Acute lower respiratory infections","2005","33","58","91"
"Cuba","Acute lower respiratory infections","2004","50","45","95"
"Cuba","Acute lower respiratory infections","2003","51","52","103"
"Cuba","Acute lower respiratory infections","2002","57","56","112"
"Cuba","Acute lower respiratory infections","2001","47","62","110"
"Cuba","Acute lower respiratory infections","2000","19","61","79"
"Cuba","Prematurity","2013","89","6","95"
"Cuba","Prematurity","2012","92","7","99"
"Cuba","Prematurity","2011","96","7","103"
"Cuba","Prematurity","2010","94","6","100"
"Cuba","Prematurity","2009","93","9","102"
"Cuba","Prematurity","2008","95","7","102"
"Cuba","Prematurity","2007","92","10","102"
"Cuba","Prematurity","2006","114","11","125"
"Cuba","Prematurity","2005","106","8","114"
"Cuba","Prematurity","2004","110","9","119"
"Cuba","Prematurity","2003","129","15","144"
"Cuba","Prematurity","2002","127","8","136"
"Cuba","Prematurity","2001","142","16","158"
"Cuba","Prematurity","2000","185","15","199"
"Cuba","Birth asphyxia and birth trauma","2013","49","22","71"
"Cuba","Birth asphyxia and birth trauma","2012","51","23","74"
"Cuba","Birth asphyxia and birth trauma","2011","53","20","73"
"Cuba","Birth asphyxia and birth trauma","2010","52","15","67"
"Cuba","Birth asphyxia and birth trauma","2009","48","15","63"
"Cuba","Birth asphyxia and birth trauma","2008","44","17","61"
"Cuba","Birth asphyxia and birth trauma","2007","40","9","49"
"Cuba","Birth asphyxia and birth trauma","2006","58","9","67"
"Cuba","Birth asphyxia and birth trauma","2005","53","8","60"
"Cuba","Birth asphyxia and birth trauma","2004","94","12","106"
"Cuba","Birth asphyxia and birth trauma","2003","81","14","95"
"Cuba","Birth asphyxia and birth trauma","2002","96","8","104"
"Cuba","Birth asphyxia and birth trauma","2001","113","6","119"
"Cuba","Birth asphyxia and birth trauma","2000","128","10","138"
"Cuba","Sepsis and other infectious conditions of the newborn","2013","42","0","42"
"Cuba","Sepsis and other infectious conditions of the newborn","2012","43","0","43"
"Cuba","Sepsis and other infectious conditions of the newborn","2011","46","0","46"
"Cuba","Sepsis and other infectious conditions of the newborn","2010","46","0","46"
"Cuba","Sepsis and other infectious conditions of the newborn","2009","44","0","44"
"Cuba","Sepsis and other infectious conditions of the newborn","2008","48","0","48"
"Cuba","Sepsis and other infectious conditions of the newborn","2007","63","0","63"
"Cuba","Sepsis and other infectious conditions of the newborn","2006","49","0","49"
"Cuba","Sepsis and other infectious conditions of the newborn","2005","59","0","59"
"Cuba","Sepsis and other infectious conditions of the newborn","2004","59","0","59"
"Cuba","Sepsis and other infectious conditions of the newborn","2003","61","0","61"
"Cuba","Sepsis and other infectious conditions of the newborn","2002","63","0","63"
"Cuba","Sepsis and other infectious conditions of the newborn","2001","60","0","60"
"Cuba","Sepsis and other infectious conditions of the newborn","2000","79","0","79"
"Cuba","Other communicable, perinatal and nutritional conditions","2013","27","16","43"
"Cuba","Other communicable, perinatal and nutritional conditions","2012","28","17","45"
"Cuba","Other communicable, perinatal and nutritional conditions","2011","29","19","48"
"Cuba","Other communicable, perinatal and nutritional conditions","2010","29","24","53"
"Cuba","Other communicable, perinatal and nutritional conditions","2009","17","19","36"
"Cuba","Other communicable, perinatal and nutritional conditions","2008","38","25","63"
"Cuba","Other communicable, perinatal and nutritional conditions","2007","43","27","69"
"Cuba","Other communicable, perinatal and nutritional conditions","2006","37","43","80"
"Cuba","Other communicable, perinatal and nutritional conditions","2005","48","37","85"
"Cuba","Other communicable, perinatal and nutritional conditions","2004","27","39","67"
"Cuba","Other communicable, perinatal and nutritional conditions","2003","39","28","67"
"Cuba","Other communicable, perinatal and nutritional conditions","2002","46","13","58"
"Cuba","Other communicable, perinatal and nutritional conditions","2001","41","22","63"
"Cuba","Other communicable, perinatal and nutritional conditions","2000","29","34","63"
"Cuba","Congenital anomalies","2013","57","82","139"
"Cuba","Congenital anomalies","2012","59","86","145"
"Cuba","Congenital anomalies","2011","62","91","153"
"Cuba","Congenital anomalies","2010","61","105","166"
"Cuba","Congenital anomalies","2009","75","89","165"
"Cuba","Congenital anomalies","2008","66","91","157"
"Cuba","Congenital anomalies","2007","80","114","194"
"Cuba","Congenital anomalies","2006","98","108","206"
"Cuba","Congenital anomalies","2005","118","138","256"
"Cuba","Congenital anomalies","2004","122","159","281"
"Cuba","Congenital anomalies","2003","135","144","279"
"Cuba","Congenital anomalies","2002","145","190","335"
"Cuba","Congenital anomalies","2001","151","178","329"
"Cuba","Congenital anomalies","2000","156","185","341"
"Cuba","Other noncommunicable diseases","2013","2","120","122"
"Cuba","Other noncommunicable diseases","2012","2","125","127"
"Cuba","Other noncommunicable diseases","2011","2","125","127"
"Cuba","Other noncommunicable diseases","2010","2","121","123"
"Cuba","Other noncommunicable diseases","2009","3","118","121"
"Cuba","Other noncommunicable diseases","2008","4","119","123"
"Cuba","Other noncommunicable diseases","2007","0","121","121"
"Cuba","Other noncommunicable diseases","2006","2","111","114"
"Cuba","Other noncommunicable diseases","2005","3","128","131"
"Cuba","Other noncommunicable diseases","2004","5","137","142"
"Cuba","Other noncommunicable diseases","2003","2","161","163"
"Cuba","Other noncommunicable diseases","2002","5","168","172"
"Cuba","Other noncommunicable diseases","2001","5","163","168"
"Cuba","Other noncommunicable diseases","2000","3","166","169"
"Cuba","Injuries","2013","5","44","49"
"Cuba","Injuries","2012","6","46","51"
"Cuba","Injuries","2011","6","49","55"
"Cuba","Injuries","2010","6","49","55"
"Cuba","Injuries","2009","3","49","52"
"Cuba","Injuries","2008","4","62","66"
"Cuba","Injuries","2007","4","59","64"
"Cuba","Injuries","2006","6","73","79"
"Cuba","Injuries","2005","10","67","77"
"Cuba","Injuries","2004","7","83","90"
"Cuba","Injuries","2003","10","102","111"
"Cuba","Injuries","2002","7","109","116"
"Cuba","Injuries","2001","13","104","117"
"Cuba","Injuries","2000","8","100","108"
"Dominica","HIV/AIDS","2013","0","0","0"
"Dominica","HIV/AIDS","2012","0","0","0"
"Dominica","HIV/AIDS","2011","0","0","0"
"Dominica","HIV/AIDS","2010","0","0","0"
"Dominica","HIV/AIDS","2009","0","0","0"
"Dominica","HIV/AIDS","2008","0","0","0"
"Dominica","HIV/AIDS","2007","0","0","0"
"Dominica","HIV/AIDS","2006","0","0","0"
"Dominica","HIV/AIDS","2005","0","0","0"
"Dominica","HIV/AIDS","2004","0","0","0"
"Dominica","HIV/AIDS","2003","0","0","0"
"Dominica","HIV/AIDS","2002","0","0","0"
"Dominica","HIV/AIDS","2001","0","0","0"
"Dominica","HIV/AIDS","2000","0","0","0"
"Dominica","Diarrhoeal diseases","2013","0","0","0"
"Dominica","Diarrhoeal diseases","2012","0","0","0"
"Dominica","Diarrhoeal diseases","2011","0","0","0"
"Dominica","Diarrhoeal diseases","2010","0","0","0"
"Dominica","Diarrhoeal diseases","2009","0","0","0"
"Dominica","Diarrhoeal diseases","2008","0","0","0"
"Dominica","Diarrhoeal diseases","2007","0","0","0"
"Dominica","Diarrhoeal diseases","2006","0","0","0"
"Dominica","Diarrhoeal diseases","2005","0","0","0"
"Dominica","Diarrhoeal diseases","2004","0","0","0"
"Dominica","Diarrhoeal diseases","2003","0","0","0"
"Dominica","Diarrhoeal diseases","2002","0","0","0"
"Dominica","Diarrhoeal diseases","2001","0","0","0"
"Dominica","Diarrhoeal diseases","2000","0","0","0"
"Dominica","Pertussis","2013","0","0","0"
"Dominica","Pertussis","2012","0","0","0"
"Dominica","Pertussis","2011","0","0","0"
"Dominica","Pertussis","2010","0","0","0"
"Dominica","Pertussis","2009","0","0","0"
"Dominica","Pertussis","2008","0","0","0"
"Dominica","Pertussis","2007","0","0","0"
"Dominica","Pertussis","2006","0","0","0"
"Dominica","Pertussis","2005","0","0","0"
"Dominica","Pertussis","2004","0","0","0"
"Dominica","Pertussis","2003","0","0","0"
"Dominica","Pertussis","2002","0","0","0"
"Dominica","Pertussis","2001","0","0","0"
"Dominica","Pertussis","2000","0","0","0"
"Dominica","Tetanus","2013","0","0","0"
"Dominica","Tetanus","2012","0","0","0"
"Dominica","Tetanus","2011","0","0","0"
"Dominica","Tetanus","2010","0","0","0"
"Dominica","Tetanus","2009","0","0","0"
"Dominica","Tetanus","2008","0","0","0"
"Dominica","Tetanus","2007","0","0","0"
"Dominica","Tetanus","2006","0","0","0"
"Dominica","Tetanus","2005","0","0","0"
"Dominica","Tetanus","2004","0","0","0"
"Dominica","Tetanus","2003","0","0","0"
"Dominica","Tetanus","2002","0","0","0"
"Dominica","Tetanus","2001","0","0","0"
"Dominica","Tetanus","2000","0","0","0"
"Dominica","Measles","2013","0","0","0"
"Dominica","Measles","2012","0","0","0"
"Dominica","Measles","2011","0","0","0"
"Dominica","Measles","2010","0","0","0"
"Dominica","Measles","2009","0","0","0"
"Dominica","Measles","2008","0","0","0"
"Dominica","Measles","2007","0","0","0"
"Dominica","Measles","2006","0","0","0"
"Dominica","Measles","2005","0","0","0"
"Dominica","Measles","2004","0","0","0"
"Dominica","Measles","2003","0","0","0"
"Dominica","Measles","2002","0","0","0"
"Dominica","Measles","2001","0","0","0"
"Dominica","Measles","2000","0","0","0"
"Dominica","Meningitis/encephalitis","2013","0","0","0"
"Dominica","Meningitis/encephalitis","2012","0","0","0"
"Dominica","Meningitis/encephalitis","2011","0","0","0"
"Dominica","Meningitis/encephalitis","2010","0","0","0"
"Dominica","Meningitis/encephalitis","2009","0","0","0"
"Dominica","Meningitis/encephalitis","2008","0","0","0"
"Dominica","Meningitis/encephalitis","2007","0","0","0"
"Dominica","Meningitis/encephalitis","2006","0","0","0"
"Dominica","Meningitis/encephalitis","2005","0","0","0"
"Dominica","Meningitis/encephalitis","2004","0","0","0"
"Dominica","Meningitis/encephalitis","2003","0","0","0"
"Dominica","Meningitis/encephalitis","2002","0","0","0"
"Dominica","Meningitis/encephalitis","2001","0","0","0"
"Dominica","Meningitis/encephalitis","2000","0","0","0"
"Dominica","Malaria","2013","0","0","0"
"Dominica","Malaria","2012","0","0","0"
"Dominica","Malaria","2011","0","0","0"
"Dominica","Malaria","2010","0","0","0"
"Dominica","Malaria","2009","0","0","0"
"Dominica","Malaria","2008","0","0","0"
"Dominica","Malaria","2007","0","0","0"
"Dominica","Malaria","2006","0","0","0"
"Dominica","Malaria","2005","0","0","0"
"Dominica","Malaria","2004","0","0","0"
"Dominica","Malaria","2003","0","0","0"
"Dominica","Malaria","2002","0","0","0"
"Dominica","Malaria","2001","0","0","0"
"Dominica","Malaria","2000","0","0","0"
"Dominica","Acute lower respiratory infections","2013","0","1","1"
"Dominica","Acute lower respiratory infections","2012","0","1","1"
"Dominica","Acute lower respiratory infections","2011","0","1","1"
"Dominica","Acute lower respiratory infections","2010","0","0","0"
"Dominica","Acute lower respiratory infections","2009","0","1","1"
"Dominica","Acute lower respiratory infections","2008","1","1","2"
"Dominica","Acute lower respiratory infections","2007","1","1","2"
"Dominica","Acute lower respiratory infections","2006","1","1","2"
"Dominica","Acute lower respiratory infections","2005","0","1","1"
"Dominica","Acute lower respiratory infections","2004","0","0","0"
"Dominica","Acute lower respiratory infections","2003","0","0","0"
"Dominica","Acute lower respiratory infections","2002","0","0","0"
"Dominica","Acute lower respiratory infections","2001","0","0","0"
"Dominica","Acute lower respiratory infections","2000","0","1","1"
"Dominica","Prematurity","2013","1","0","1"
"Dominica","Prematurity","2012","1","0","1"
"Dominica","Prematurity","2011","1","0","1"
"Dominica","Prematurity","2010","1","0","1"
"Dominica","Prematurity","2009","2","0","2"
"Dominica","Prematurity","2008","3","0","3"
"Dominica","Prematurity","2007","5","0","5"
"Dominica","Prematurity","2006","5","0","5"
"Dominica","Prematurity","2005","5","0","5"
"Dominica","Prematurity","2004","4","0","4"
"Dominica","Prematurity","2003","6","0","6"
"Dominica","Prematurity","2002","6","0","6"
"Dominica","Prematurity","2001","7","0","7"
"Dominica","Prematurity","2000","6","1","7"
"Dominica","Birth asphyxia and birth trauma","2013","6","0","6"
"Dominica","Birth asphyxia and birth trauma","2012","6","0","6"
"Dominica","Birth asphyxia and birth trauma","2011","6","0","6"
"Dominica","Birth asphyxia and birth trauma","2010","4","0","4"
"Dominica","Birth asphyxia and birth trauma","2009","4","0","4"
"Dominica","Birth asphyxia and birth trauma","2008","2","0","2"
"Dominica","Birth asphyxia and birth trauma","2007","2","0","2"
"Dominica","Birth asphyxia and birth trauma","2006","0","0","0"
"Dominica","Birth asphyxia and birth trauma","2005","1","0","1"
"Dominica","Birth asphyxia and birth trauma","2004","2","0","2"
"Dominica","Birth asphyxia and birth trauma","2003","2","0","2"
"Dominica","Birth asphyxia and birth trauma","2002","1","0","1"
"Dominica","Birth asphyxia and birth trauma","2001","1","0","1"
"Dominica","Birth asphyxia and birth trauma","2000","1","1","2"
"Dominica","Sepsis and other infectious conditions of the newborn","2013","2","0","2"
"Dominica","Sepsis and other infectious conditions of the newborn","2012","2","0","2"
"Dominica","Sepsis and other infectious conditions of the newborn","2011","2","0","2"
"Dominica","Sepsis and other infectious conditions of the newborn","2010","3","0","3"
"Dominica","Sepsis and other infectious conditions of the newborn","2009","3","0","3"
"Dominica","Sepsis and other infectious conditions of the newborn","2008","2","0","2"
"Dominica","Sepsis and other infectious conditions of the newborn","2007","1","0","1"
"Dominica","Sepsis and other infectious conditions of the newborn","2006","1","0","1"
"Dominica","Sepsis and other infectious conditions of the newborn","2005","1","0","1"
"Dominica","Sepsis and other infectious conditions of the newborn","2004","1","0","1"
"Dominica","Sepsis and other infectious conditions of the newborn","2003","0","0","0"
"Dominica","Sepsis and other infectious conditions of the newborn","2002","0","0","0"
"Dominica","Sepsis and other infectious conditions of the newborn","2001","0","0","0"
"Dominica","Sepsis and other infectious conditions of the newborn","2000","1","0","1"
"Dominica","Other communicable, perinatal and nutritional conditions","2013","1","0","1"
"Dominica","Other communicable, perinatal and nutritional conditions","2012","1","0","1"
"Dominica","Other communicable, perinatal and nutritional conditions","2011","1","1","1"
"Dominica","Other communicable, perinatal and nutritional conditions","2010","0","1","1"
"Dominica","Other communicable, perinatal and nutritional conditions","2009","0","0","1"
"Dominica","Other communicable, perinatal and nutritional conditions","2008","0","0","0"
"Dominica","Other communicable, perinatal and nutritional conditions","2007","0","0","0"
"Dominica","Other communicable, perinatal and nutritional conditions","2006","1","0","1"
"Dominica","Other communicable, perinatal and nutritional conditions","2005","0","0","0"
"Dominica","Other communicable, perinatal and nutritional conditions","2004","1","0","1"
"Dominica","Other communicable, perinatal and nutritional conditions","2003","1","0","1"
"Dominica","Other communicable, perinatal and nutritional conditions","2002","1","0","1"
"Dominica","Other communicable, perinatal and nutritional conditions","2001","0","0","0"
"Dominica","Other communicable, perinatal and nutritional conditions","2000","1","0","1"
"Dominica","Congenital anomalies","2013","0","1","1"
"Dominica","Congenital anomalies","2012","0","1","1"
"Dominica","Congenital anomalies","2011","0","1","1"
"Dominica","Congenital anomalies","2010","0","1","2"
"Dominica","Congenital anomalies","2009","1","1","2"
"Dominica","Congenital anomalies","2008","1","1","2"
"Dominica","Congenital anomalies","2007","1","1","2"
"Dominica","Congenital anomalies","2006","2","1","3"
"Dominica","Congenital anomalies","2005","2","1","3"
"Dominica","Congenital anomalies","2004","1","1","2"
"Dominica","Congenital anomalies","2003","0","1","1"
"Dominica","Congenital anomalies","2002","1","1","2"
"Dominica","Congenital anomalies","2001","1","1","3"
"Dominica","Congenital anomalies","2000","2","1","4"
"Dominica","Other noncommunicable diseases","2013","0","1","1"
"Dominica","Other noncommunicable diseases","2012","0","1","1"
"Dominica","Other noncommunicable diseases","2011","0","1","1"
"Dominica","Other noncommunicable diseases","2010","0","1","1"
"Dominica","Other noncommunicable diseases","2009","0","2","2"
"Dominica","Other noncommunicable diseases","2008","0","2","2"
"Dominica","Other noncommunicable diseases","2007","0","2","2"
"Dominica","Other noncommunicable diseases","2006","0","2","2"
"Dominica","Other noncommunicable diseases","2005","0","2","2"
"Dominica","Other noncommunicable diseases","2004","0","4","4"
"Dominica","Other noncommunicable diseases","2003","0","3","3"
"Dominica","Other noncommunicable diseases","2002","0","3","3"
"Dominica","Other noncommunicable diseases","2001","0","2","2"
